ID with leading,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
0307583,2012-13,1,Single,0,25503,Middle School,Middle School,Off Campus,,,,,,,,12940,,,,12085,,,,4485.81,,,,,,,,
0307591,2012-13,1,Married,13741,0,College,College,Off Campus,,,,,2610,,,9650,2553,,,2823,2750,,,2140,2750,,,2888,,,,
0307602,2012-13,1,Single,0,43378,Unknown,High School,With Parent,,,,,3500,,2000,6452,3500,,,1832,10700,,,,15000,,,,14929,,,
0307620,2012-13,1,Single,1774,118174,Unknown,Unknown,On Campus Housing,,,,,3279,3000,,,,,,,,,,,,,,,,,,
0307653,2012-13,1,Single,0,39898,High School,High School,With Parent,,,,,9500,1000,,8550,9500,1000,,8485,,,,,10500,,,4825,,,,
0307656,2012-13,1,Single,0,19044,High School,College,With Parent,,,,,,,,11790,,,,,,,,4358,,,,,,,,
0307660,2012-13,1,Divorced,44816,0,High School,Middle School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0307674,2012-13,1,Single,0,35498,Unknown,High School,On Campus Housing,,,,,3500,,,9050,,,,,,,,,,,,,,,,
0307678,2012-13,1,Single,0,33885,Unknown,Unknown,On Campus Housing,,,,,5500,,,10000,,,,11983,4500,,,7734,5500,,,10657,,,,
0307684,2012-13,1,Single,34234,0,Unknown,Unknown,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0307696,2012-13,1,Separated,0,0,Middle School,Middle School,Off Campus,,,,,12500,,,692,2551,,,386,,,,,,,,,,,,
0307734,2012-13,1,Single,0,26598,Middle School,Middle School,On Campus Housing,,,,,8000,,1000,13790,,,,11435,2000,,,13266,5500,,,9537,,,,8855
0307744,2012-13,1,Single,27523,0,High School,High School,Off Campus,,,,,12500,10421.8,,,12500,11153.3,,,5250,4700,,1940,,,,,,,,
0307753,2012-13,1,Single,0,25105,High School,High School,With Parent,,,,,,,,13540,,,,13151,1829,,,2149,,,,,,,,
0307759,2012-13,1,Married,63733,0,High School,High School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0307760,2012-13,1,Married,83013,0,College,College,Off Campus,,,,,7500,1000,,,5250,,,711,,,,,,,,,,,,
0307779,2012-13,1,Single,0,0,High School,High School,Off Campus,,,,,,,,11950,,,2000,11281,5500,,2000,13866,5500,,850,12571,,,,727
0307780,2012-13,1,Single,0,42399,College,Middle School,With Parent,,,,,,5000,,2700,,5000,,,,5000,,,,5000,,,4374,,,633
0307786,2012-13,1,Single,0,58838,High School,College,With Parent,,,,,3500,,,,,,,,,,,,,,,,,,,
0307790,2012-13,1,Single,1656,16139,High School,High School,With Parent,,,,,,,,12940,,,,11136.09,,,,,,,,,,,,
0307801,2012-13,1,Single,0,52421,High School,High School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
0307809,2012-13,1,Single,0,100000,College,High School,With Parent,,,,,3500,,,,3045,,,8761,,,,11294,7500,,,12255,6293,,,12373
0307811,2012-13,1,Single,0,73913,High School,College,With Parent,,,,,,10421.8,,,,10653.3,,,,10853,,,5900,11178.6,,,,,,
0307826,2012-13,1,Single,0,35973,High School,High School,With Parent,,,,,,,,11790,,,,11851,,6500,,7920,,5000,,8389,,2500,,4140
0307829,2012-13,1,Single,0,28000,College,Middle School,Off Campus,,,,,,,,11152,,,,12333,,,,11294,,,,10857,,,,12173
0307831,2012-13,1,Single,0,13757,High School,Middle School,With Parent,,,,,,,,12390,,,,12001,10500,,2000,12116,12891,,,7379,7500,,,8694
0307879,2012-13,1,Single,20931,0,High School,College,With Parent,,,,,4400,,,4163,,,,,,,,,,,,,,,,
0307895,2012-13,1,Single,10428,32299,Middle School,College,With Parent,,,,,,,,6194,,,,8081,,,,4308,,,,1866,,,,
0307904,2012-13,1,Single,16543,72518,High School,High School,Off Campus,,,,,11500,,,,6500,,,,7500,,,,10500,,,,,,,
0307906,2012-13,1,Single,0,134136,High School,College,With Parent,,,,,18281,,,,1750,,,,,,,,,,,,,,,
0307909,2012-13,1,Single,26131,0,College,High School,Off Campus,,,,,7500,,,,7500,,,2183,8500,,,,10500,,,,12500,,,
0307912,2012-13,1,Single,0,0,Middle School,Middle School,With Parent,,,,,5500,,,5550,,,,12601,,,,11966,3000,,,5625,,,,6907
0307913,2012-13,1,Single,0,14625,High School,High School,On Campus Housing,,,,,3500,,,11790,3500,,,12601,5500,,,13016,,,,12255,5500,,2000,9294
0307914,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307918,2012-13,1,Single,7823,0,Middle School,Unknown,Off Campus,,,,,,,2000,12940,,,2000,12933,,,2000,13044,,,2000,13171,,,,12441
0307921,2012-13,1,Single,0,0,Unknown,Unknown,On Campus Housing,,,,,,,,12790,,,,,,,,,,,,,,,,
0307923,2012-13,1,Single,17767,0,College,High School,Off Campus,,,,,9500,,,2900,4250,,,1622,10500,,,,10500,,,2225,12500,,,641
0307932,2012-13,1,Single,2001,33070,High School,High School,Off Campus,,,,,,,,10490,,,,,,,,,,,,,,,,
0307935,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307937,2012-13,1,Single,0,50896,High School,High School,On Campus Housing,,,,,22162,,,3800,10402.5,,,1598,,,,,,,,,,,,
0307950,2012-13,1,Single,0,18208,Unknown,High School,Off Campus,,,,,,,,12940,,,,,,,,13291,,,,,,,,
0307976,2012-13,1,Single,0,0,College,College,With Parent,,,,,5500,,,5550,6420,,,,,,,,,,,,,,,
0307988,2012-13,1,Single,0,39882,Unknown,Unknown,On Campus Housing,,,,,1584,,,8250,1750,,,3641,,,,,,,,,,,,
0307989,2012-13,1,Single,8989,50896,Unknown,Unknown,Off Campus,,,,,,,,,,,,11783,3600,,,11894,10500,,,7877,,,,
0308017,2012-13,1,Single,0,108397,High School,High School,On Campus Housing,,,,,9500,,,,9500,,,,,,,,,,,,,,,
0308032,2012-13,1,Single,3671,34244,Middle School,College,On Campus Housing,,,,,8000,,,11490,,,,,,,,,,,,,,,,
0308051,2012-13,1,Single,0,96166,High School,College,With Parent,,,,,3500,,2000,,3500,,,,4500,,,,5500,,,,7500,,,
0308058,2012-13,1,Single,0,0,High School,High School,On Campus Housing,,,,,3500,,,9402,,,,10335,,,,,,,,,,,,
0308060,2012-13,1,Single,0,24892,High School,Middle School,On Campus Housing,,,,,,,,13540,,,,,,,,,,,,,,,,
0308071,2012-13,1,Single,22669,24392,Unknown,Unknown,With Parent,,,,,,,,12940,,,,11024,,,,13266,,,,13405,,,,11005
0308087,2012-13,1,Single,0,16717,Middle School,Middle School,With Parent,,,,,5500,,,5550,3500,,2000,8077,4500,,,6330,5500,,,5775,5500,,,6415
0308099,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308103,2012-13,1,Single,0,28335,High School,High School,Off Campus,,,,,,,,12940,,,,13151,,,,12444,,,,6128,,,,7666
0308108,2012-13,1,Single,0,11757,Unknown,Unknown,On Campus Housing,,,,,9500,,,6150,9500,,,5095,6500,,,5730,7500,,,10557,8250,,,2908
0308110,2012-13,1,Single,0,24106,High School,Middle School,With Parent,,,,,,,,13540,,,,12085,,,,,,,,,,,,
0308123,2012-13,1,Single,2165,77652,Unknown,High School,On Campus Housing,,,,,12000,,,,9500,,,,8500,,,6330,12500,,,5775,6250,,,2978
0308129,2012-13,1,Single,0,35736,High School,High School,With Parent,,,,,12000,,,8350,12000,,,8685,8500,,,5730,8500,,,5775,12500,,,8813
0308132,2012-13,1,Single,0,64696,College,College,With Parent,,,,,18500,,,,18500,,,,20700,,,,7500,,,3925,9000,,,
0308133,2012-13,1,Single,0,170000,College,High School,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0308142,2012-13,1,Single,0,18786,High School,High School,With Parent,,,,,5500,,,7366,,,,,,,,,,,,,,,,
0308154,2012-13,1,Single,0,0,Unknown,Middle School,On Campus Housing,,,,,,,,12940,,,,11485,,,,13866,,,,12571,,,,12723
0308158,2012-13,1,Single,0,70232,College,College,With Parent,,,,,7500,,,,5500,,,,6500,,,,10500,,,,12500,,,
0308162,2012-13,1,Single,0,24193,College,Middle School,With Parent,,,,,,,,13540,2000,,,12083,9000,,,3880,7500,,,10557,,,,
0308164,2012-13,1,Single,0,70000,High School,High School,With Parent,,,,,3500,5550,,,,5645,,,4250,2865,,,2750,5775,,,,2907.5,,
0308165,2012-13,1,Single,6848,19765,Middle School,Middle School,With Parent,,,,,,,,13540,,,,10681,,,,13266,2500,1000,,8791,,,,
0308166,2012-13,1,Single,0,16172,Middle School,,Off Campus,,,,,,,,13540,,,,13151,,,3000,13866,,,2000,13405,5093,,,13573
0308191,2012-13,1,Single,5453,21425,College,High School,With Parent,,,,,,,,4163,,,,6298,,,,,,,,,,,,
0308227,2012-13,1,Single,0,18117,Middle School,Middle School,With Parent,,,,,,,,11790,,,,12601,,,,,,,,,,1000,,6211
0308229,2012-13,1,Single,0,54089,High School,High School,Off Campus,,,,,5500,,,2400,3500,,,8981,,,,,,,,,,,,
0308232,2012-13,1,Single,9427,21219,High School,High School,With Parent,,,,,,,,10200,,,,,,,,,3500,,,2888,6500,,,
0308233,2012-13,1,Single,0,0,Middle School,Middle School,Off Campus,,,,,,,,11790,4500,,,11183,5300,,,5730,5500,,,5775,,,,
0308245,2012-13,1,Single,0,34785,College,College,With Parent,,,,,,4000,,3800,,4000,,9381,,4000,,1840,,4000,,3225,,,,
0308260,2012-13,1,Single,2629,0,High School,College,Off Campus,,,,,10500,,,5550,8500,,,12001,,,,,,,,,,,,
0308266,2012-13,1,Single,2450,0,College,College,With Parent,,,,,9665,,,4100,,,,,,,,,,,,,,,,
0308268,2012-13,1,Single,41745,0,High School,High School,With Parent,,,,,5750,10421.8,,,5500,10653.3,,,5250,,,,,,,,,,,
0308298,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308301,2012-13,1,Single,13891,47592,College,High School,With Parent,,,,,7500,,,,7500,,,,,,,,,,,,,,,
0308304,2012-13,1,Single,0,0,Unknown,Unknown,On Campus Housing,,,,,,,,12790,,,,,,,,,,,,,,,,
0308310,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308316,2012-13,1,Single,0,10090,High School,Middle School,On Campus Housing,,,,,3500,,,11790,9500,,,12001,13000,,,12116,19500,,,5775,2387,,,2181
0308320,2012-13,1,Single,0,0,Middle School,Middle School,With Parent,,,,,,7321.8,,6150,,3000,,12601,,,,,,,,,,,,
0308326,2012-13,1,Single,0,106664,Middle School,College,On Campus Housing,,,,,3500,,,,3500,250,,,4500,,,,5500,,,,2812,,,
0308361,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308362,2012-13,1,Single,0,19292,Unknown,Unknown,Off Campus,,,,,,,,13540,,,,13151,2200,,,12192,,,,10887,,,,9630
0308363,2012-13,1,Single,0,12360,Unknown,Unknown,With Parent,,,,,3000,,,12390,5500,,,12601,3821,,,13016,5500,,,12255,7500,,,9719
0308365,2012-13,1,Single,0,78124,High School,High School,On Campus Housing,,,,,5500,,,3894,9500,,,5015,15000,,,3608,11500,,,626,12100,,,
0308367,2012-13,1,Single,0,28545,Middle School,Middle School,Off Campus,,,,,5500,,,5000,,,2800,12601,,,3500,12116,,,2600,12255,,,2000,11523
0308427,2012-13,1,Divorced,12082,0,College,High School,Off Campus,,,,,9086,,,11790,10500,,,12601,1548,,,12716,,,,,,,,
0308434,2012-13,1,Single,0,35816,Middle School,High School,With Parent,,,,,,,,12440,,,2000,11783,,,,12294,,,,11600.5,972,,,1884
0308436,2012-13,1,Single,0,1037,Unknown,College,With Parent,,,,,,,1500,13540,,,2000,13151,,,2000,13866,,,,13405,550,,,10913
0308438,2012-13,1,Single,13617,0,Middle School,High School,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0308442,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308465,2012-13,1,Single,0,39513,High School,High School,On Campus Housing,,,,,8000,,1000,13190,3500,,,10660,5500,,,7284,7500,,,,7500,,,
0308469,2012-13,1,Single,0,47883,High School,Middle School,On Campus Housing,,,,,8000,5550,,11190,10750,5645,,3811,,,,,,,,,,,,
0308475,2012-13,1,Single,0,14676,Middle School,High School,With Parent,,,,,,,,12390,,,,,,,,,,,,,,,,
0308487,2012-13,1,Single,10036,0,Middle School,High School,With Parent,,,,,,,,824.42,,,,,,,,,,,,,,,,
0308506,2012-13,1,Single,0,34835,Middle School,High School,With Parent,,,,,,,,11790,2200,,,12001,,,,,,,,,,,,
0308536,2012-13,1,Single,0,12899,High School,High School,On Campus Housing,,,,,9500,,500,13790,9500,,2000,14001,3789,,,13216,4500,,,10159,7500,,,14023
0308540,2012-13,1,Single,0,58975,Middle School,Middle School,With Parent,,,,,5500,,,1816,6500,,2000,,7500,1000,2000,2472,5500,,,3989,6000,,,
0308541,2012-13,1,Single,0,21849,High School,High School,On Campus Housing,,,,,,,,11790,,,,12001,,,2000,12716,,,,,,,,
0308544,2012-13,1,Single,2624,22795,High School,High School,On Campus Housing,,,,,,,,11740,,,,12001,,,,12716,,,,6428,,,,
0308554,2012-13,1,Single,24804,0,High School,College,On Campus Housing,,,,,12500,,,,5500,,,1748,5250,,,,10500,,,2225,12500,,,1776
0308561,2012-13,1,Single,0,14527,High School,High School,With Parent,,,,,,,,12940,,,,13151,,,,13266,,,,10837,2000,,,8963
0308572,2012-13,1,Single,0,28494,Middle School,Middle School,With Parent,,,,,,,,11490,,,3200,11633,2000,,4500,9292,3000,,4000,3389,5110,,500,2672
0308583,2012-13,1,Single,0,23935,Unknown,Unknown,Off Campus,,,,,3500,,,8742,,,2000,12601,,,3200,12716,,,2000,12255,7500,,2000,9569
0308586,2012-13,1,Single,2558,153099,College,High School,On Campus Housing,,,,,24462,,,,21398,,,,5500,,,,11000,,,,14000,,,
0308598,2012-13,1,Single,2579,27000,College,High School,With Parent,,,,,,,,5550,,,,12601,,,,,,,,,,,,
0308606,2012-13,1,Single,12475,14300,Unknown,Unknown,With Parent,,,,,,,,11790,,,,11951,1857,,,13016,,,,12705,,,,
0308607,2012-13,1,Single,0,13475,High School,College,With Parent,,,,,,,,11790,,,,11951,,,,12716,,,,11871,14966,,,
0308608,2012-13,1,Single,154660,154660,College,College,On Campus Housing,,,,,15000,,,,,,,,,,,,,,,,,,,
0308636,2012-13,1,Single,0,70658,Unknown,Unknown,With Parent,,,,,,,,1300,3500,,,,4500,,2000,2080,5500,,2000,2125,5500,,,
0308654,2012-13,1,Single,1566,16549,High School,High School,Off Campus,,,,,,,2000,11740,,,,,,,,,,,,,,,,
0308656,2012-13,1,Single,0,9666,Middle School,Middle School,With Parent,,,,,,,,13540,,,,13151,,,,,,,,,,,,
0308662,2012-13,1,Single,39672,100093,High School,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0308673,2012-13,1,Single,0,41547,College,College,With Parent,,,,,,,2000,8950,,250,,9085,,,,5916,,,2000,7987,,,,
0308675,2012-13,1,Single,0,75422,College,High School,With Parent,,,,,3500,,,,5000,,,,,,,,,,,,,,,
0308677,2012-13,1,Single,27453,0,High School,High School,Off Campus,,,,,4785,,,,,,,2118,3500,,,4898,4500,,,5054,5500,,,2907
0308678,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308682,2012-13,1,Single,7121,0,High School,High School,Off Campus,,,,,,,,11040,,,,,,,,,,,,,,,,
0308683,2012-13,1,Single,-24326,0,Middle School,Unknown,Off Campus,,,,,7500,,,4856,,,,,,,,,,,,,,,,
0308689,2012-13,1,Single,13913,0,High School,High School,With Parent,,,,,3500,,,2850,,,,1799,,,,,,,,,,,,
0308690,2012-13,1,Single,12663,0,College,College,With Parent,,,,,2750,,,11790,,,,1412,,,,,,,,,,,,
0308692,2012-13,1,Single,3546,0,Unknown,Unknown,Off Campus,,,,,,,,6908,,,,12001,2149,,,2149,,,,,,,,
0308695,2012-13,1,Married,15600,0,College,College,Off Campus,,,,,7600,3000,,3852,4599,3500,,3886,,,,,,,,,,,,
0308702,2012-13,1,Single,1595,127231,Unknown,College,Off Campus,,,,,3500,,,,5500,,,,,,,,,,,,,,,
0308709,2012-13,1,Married,42263,0,High School,High School,Off Campus,,,,,7500,,,5550,10500,,,3695,,,,,,,,,,,,
0308710,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308714,2012-13,1,Single,0,0,College,College,Off Campus,,,,,12500,,,10002,10500,,,5645,,,,,10500,,,6171,12500,,,
0308717,2012-13,1,Single,1188,36018,College,College,Off Campus,,,,,,7159.8,,7192,,5500,,8281,,8000,,2980,,8453.6,,4425,,,,
0308724,2012-13,1,Single,0,0,Middle School,Middle School,On Campus Housing,,,,,10000,,2000,13040,,,,,,,,,,,,,,,,
0308732,2012-13,1,Single,0,0,High School,High School,Off Campus,,,,,,,2000,11640,3500,,,9531,1100,,730,11894,,,,,,,,
0308738,2012-13,1,Single,0,33764,College,High School,With Parent,,,,,,,,11290,,,,,,,,,,,,,,,,
0308742,2012-13,1,Single,0,74840,High School,Unknown,Off Campus,,,,,5500,,,,,,,,,,,,,,,,10500,,,11573
0308747,2012-13,1,Single,11655,33764,College,High School,With Parent,,,,,,,,7152,,,,,,,,,,,,,,,,
0308748,2012-13,1,Married,14705,0,Unknown,Unknown,Off Campus,,,,,5500,,,5550,,,,,,,,,,,,,,,,
0308749,2012-13,1,Single,7461,66282,High School,High School,With Parent,,,,,8500,,,3316,30073,,,,,,,,,,,,,,,
0308781,2012-13,1,Single,0,58086,Middle School,High School,With Parent,,,,,,,,,,,,7840,8820,,,8484,10500,,,825,6250,,,883
0308796,2012-13,1,Single,0,0,High School,Middle School,On Campus Housing,,,,,8000,,,11790,1750,,,2823,,,,,,,,,,,,
0308805,2012-13,1,Single,6132,85588,College,College,With Parent,,,,,5500,,,,5500,,,,,,,,,,,,,,,
0308806,2012-13,1,Single,0,83721,High School,College,With Parent,,,,,3500,,,,2751,,,,,,,,,,,,,,,
0308812,2012-13,1,Single,0,22797,College,College,With Parent,,,,,,,2000,12390,,,2000,12451,,,,12066,,,2610,12205,,,,
0308814,2012-13,1,Single,0,0,Middle School,Middle School,With Parent,,,,,,,,6150,,,2600,12601,,,2000,12716,,,75,12255,,,,
0308821,2012-13,1,Single,0,10460,High School,High School,With Parent,,,,,,,1000,11790,,,2000,12601,,,3800,12716,,,3600,12855,,,1565.45,6512
0308831,2012-13,1,Single,0,44127,Unknown,Unknown,Off Campus,,,,,6600,,,9800,5500,,,5445,6500,,,8016,12500,,,575,19400,,,4067
0308839,2012-13,1,Single,0,27017,High School,High School,With Parent,,,,,,,,4911.5,,,,,,,,,,,,,,,,
0308858,2012-13,1,Single,0,49712,College,Middle School,Off Campus,,,,,5500,,,8650,4500,,,12001,10500,,,5180,12500,,,5225,6770,,,2383
0308859,2012-13,1,Single,5155,8904,High School,High School,With Parent,,,,,,5550,,12940,,,,,,,,,,,,,,,,
0308874,2012-13,1,Single,0,82629,High School,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0308878,2012-13,1,Single,0,52438,High School,College,Off Campus,,,,,,,,4892,,,,3811,,,,,4478,,,,3751,,,
0308887,2012-13,1,Single,0,78900,College,College,Off Campus,,,,,,,,,,,,,6500,,,,10500,,,5775,,,,
0308894,2012-13,1,Single,0,107117,High School,High School,With Parent,,,,,5500,,,,5500,,,,4500,,,,,,,,,,,
0308898,2012-13,1,Single,0,16812,Middle School,Middle School,Off Campus,,,,,,,,6936,5000,,,,,,,,,,,,,,,
0308908,2012-13,1,Single,0,10282,Middle School,Middle School,With Parent,,,,,,,,11790,,,,11851,,,,10800.97,,,,12255,5715,,,6512
0308911,2012-13,1,Single,20543,0,Unknown,Unknown,Off Campus,,,,,3500,,,2000,,,,,,,,,,,,,,,,
0308913,2012-13,1,Single,39353,0,College,College,Off Campus,,,,,3500,,,,5500,,,,,,,,,,,,,,,
0308915,2012-13,1,Single,0,127462,College,College,On Campus Housing,,,,,16500,,,,,,,,,,,,,,,,,,,
0308917,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308937,2012-13,1,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,
0308942,2012-13,1,Married,27869,0,Middle School,Middle School,Off Campus,,,,,3750,,,1388,,,,,,,,,,,,,,,,
0308948,2012-13,1,Single,6367,10895,High School,High School,Off Campus,,,,,3500,,,11740,4500,,,4197,5500,,,6044,12500,,,1442,10100,,,1902
0308954,2012-13,1,Single,0,39916,High School,High School,With Parent,,,,,1200,,,10300,,,,,,,,,,,,,,,,
0308957,2012-13,1,Single,0,18959,College,High School,Off Campus,,,,,,,,11040,13300,,,,,,,11144,,,,10357,,,,11041
0308960,2012-13,1,Single,135000,135000,High School,High School,With Parent,,,,,5500,,,,,,,,,,,,,,,,,,,
0308961,2012-13,1,Single,0,29324,High School,High School,With Parent,,,,,,,,6150,,,,11851,,,,,,,,,,,,
0308969,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308982,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309008,2012-13,1,Single,0,35805,Middle School,High School,With Parent,,,,,,,,10790,,,,8681,,,,5520,,,,5691,,,,2865
0309025,2012-13,1,Single,0,79739,High School,High School,With Parent,,,,,13500,,,,13500,,,,11500,,,,5500,,,,3437,,,
0309043,2012-13,1,Single,820,128632,High School,High School,With Parent,,,,,9500,,,,9500,,,,10500,,,,14500,,,,13000,,,
0309067,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309075,2012-13,1,Single,0,67255,College,High School,With Parent,,,,,,,,,,,,695,4500,,,4708,,,,7887,,,,583
0309078,2012-13,1,Single,0,103868,High School,High School,With Parent,,,,,,10421.8,,,,10653.3,,,,10853,,,,12178.6,,,,,,
0309082,2012-13,1,Single,8361,0,Unknown,College,On Campus Housing,,,,,,,,6150,,,,,,,,4180,,,,10857,,,,11573
0309087,2012-13,1,Single,0,132859,High School,High School,On Campus Housing,,,,,3500,,,,,,,,,,,,,,,,,,,
0309090,2012-13,1,Single,12824,0,High School,College,Off Campus,,,,,7500,2000,,7792,10500,2000,,8161,,,,,,,,,,,,
0309091,2012-13,1,Single,0,0,Unknown,High School,Off Campus,,,,,7500,,,2775,10500,,,12001,12500,,,7817,,,,,,,,
0309094,2012-13,1,Single,0,144164,College,College,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
0309096,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309097,2012-13,1,Single,5649,36403,Unknown,Unknown,With Parent,,,,,,,,1313,,,,,,,,,,,,,,,,
0309104,2012-13,1,Single,0,41933,High School,High School,With Parent,,,,,3500,,3000,9890,,,,,3500,,,9192,6500,,,3889,11850,,,
0309109,2012-13,1,Single,3542,28802,High School,College,With Parent,,,,,,,,11790,,,,12601,,,,12116,,,,,,,,1365
0309115,2012-13,1,Single,0,8422,Unknown,Unknown,With Parent,,,,,,,,11790,,,,12001,4500,,,5730,,,,12255,,,,
0309120,2012-13,1,Single,0,36027,High School,High School,On Campus Housing,,,,,12000,,,10690,10500,500,,12001,10500,,2003,12716,19000,,,9307,,,,
0309126,2012-13,1,Single,187,17213,College,High School,On Campus Housing,,,,,,3635.9,,1537.5,,,,,,,,,,,,,,,,
0309129,2012-13,1,Single,0,24887,College,High School,With Parent,,,,,5500,,,11790,3500,,,12001,4470,,,12066,,,,2110,7500,,,9641
0309139,2012-13,1,Single,0,29020,High School,High School,With Parent,,,,,,1000,,12040,,,,,,,,,3500,,,1505.59,,,,
0309149,2012-13,1,Single,0,24320,High School,High School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
0309178,2012-13,1,Single,7706,0,Middle School,Middle School,With Parent,,,,,5500,,,5550,12500,,,5645,2750,,,11294,,,,,8093,,,2423
0309179,2012-13,1,Married,86421,0,High School,High School,Off Campus,,,,,12500,,,,,,,,,,,,,,,,,,,
0309181,2012-13,1,Divorced,30877,0,College,College,Off Campus,,,,,7500,,,5456,,,,,,,,,,,,,,,,
0309182,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309183,2012-13,1,Single,0,0,College,High School,With Parent,,,,,7812,500,,3470,5050,,,5873,,,,,,,,,,,,
0309191,2012-13,1,Single,645,11649,College,High School,With Parent,,,,,3500,,,11790,3500,,,12601,4500,,,12066,5500,,,10337,7500,,,8253
0309195,2012-13,1,Single,0,74426,College,College,With Parent,,,,,5500,,,,,,,,,,,,,,,,,,,
0309197,2012-13,1,Single,0,137455,High School,College,On Campus Housing,,,,,5500,,,,,,,,,,,,,,,,,,,
0309206,2012-13,1,Single,0,45136,High School,High School,With Parent,,,,,4750,,,6945,10500,,,,11662,,,,7500,,,,,,,
0309216,2012-13,1,Single,13550,24388,High School,High School,On Campus Housing,,,,,,,3000,4700,,,2000,8865,,,,,,,,,,,,
0309218,2012-13,1,Single,0,15000,,,Off Campus,,,,,2750,,,2775,,,,,,,,,,,,,,,,
0309233,2012-13,1,Single,0,0,Unknown,High School,With Parent,,,,,5500,,,13065,4000,,500,7001,,,,,,,,,,,,
0309235,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309239,2012-13,1,Single,0,18707,High School,Middle School,With Parent,,,,,,1000,2000,13540,,,,,,,,,,,,,,,,
0309243,2012-13,1,Single,3733,176711,High School,High School,With Parent,,,,,,6000,,,,6000,,,,6000,,,,3000,,,,,,
0309250,2012-13,1,Single,0,36016,High School,College,With Parent,,,,,3500,,,10690,,,,,,,,,,,,,,,,
0309259,2012-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309262,2012-13,1,Single,0,13409,Unknown,High School,On Campus Housing,,,,,,,,4857,,,,,,,,,3180,,,2888,6500,,,5815
0309274,2012-13,1,Single,0,107792,College,High School,With Parent,,,,,5500,,,,9500,,,,,,,,,,,,,,,
0309277,2012-13,1,Single,0,109097,High School,College,On Campus Housing,,,,,3500,,,,3500,,,8485,,,3000,9592,,,2000,10507,,,,
0309312,2012-13,1,Single,11519,0,Middle School,Middle School,Off Campus,,,,,,,,12390,2500,,,6001,,,,,,,,,5500,,,724
0309320,2012-13,1,Single,3500,157300,High School,High School,Off Campus,,,,,24500,,,,5500,,,,,,,,,,,,,,,
0309330,2012-13,1,Single,1556,73686,High School,High School,With Parent,,,,,,10421.8,,,,10653.3,,,,1079,,,,,,,,,,
0309356,2012-13,1,Married,191147,0,High School,High School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0309357,2012-13,1,Single,0,70000,High School,High School,With Parent,,,,,7403,,,,,,,,,,,,,,,,,,,
0309366,2012-13,1,Single,0,13359,Unknown,High School,With Parent,,,,,1750,,,2750,,,,,,,,,,,,,,,,
0309372,2012-13,1,Single,1210,3520,Middle School,High School,With Parent,,,,,3500,,,5550,3500,,,12001,4500,,,5730,5500,,,6125,7500,,,9105
0309379,2012-13,1,Single,430,31539,High School,College,Off Campus,,,,,3500,,,5650,,,,,,,,,,,,,,,,
0309391,2012-13,1,Single,0,53285,High School,High School,With Parent,,,,,5500,,,800,3500,,,1295,4500,1250,,,5500,,,,7500,,,
0309398,2012-13,1,Single,4154,217530,College,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
